Date;Rating;Content;Auteur;ResponseMonoprix
2021-09-12 00:00:00;1;Cette marque étant anti-Noël et fêtes de fin d'année nous n'y achèterons plus jamais quoi que ce soit.;c;False
2021-09-11 00:00:00;1;Il manque SYSTÉMATIQUEMENT des produits, et je me fais engueuler au téléphone !Plus jamais;Consumer;False
2021-07-31 00:00:00;1;Pas vraiment aimable la vendeuse. Pas un bonjour ni un aurevoir;Sorikane Miwa;False
2021-07-30 00:00:00;2;BonjourC?est Monoprix Quoi ?.. si on peut éviter c?est mieux;No Pseudo;False
2021-07-29 00:00:00;4;Assez cher, mais ça se sait. Quand je veux faire des économies, je vais ailleurs. Toutefois, le choix est large et on trouve ce que l'on cherche, c'est le principal.;olivier GE;False
2021-07-10 00:00:00;1;VIANDE HACHEE PERIMEE DE TROIS JOURS LIVREE ADMISSIBLE;Sonia Garreau Delplanque;False
2021-07-08 00:00:00;5;J?ai acheté trois fois sur ce site Internet. C?était des vêtements à  Récupérer en click and collect. Ça s?est très bien passé. Je recommande;LiliFrance;False
2021-07-08 00:00:00;1;Le monoprix dherblayamabilité 0 entre la vendeuse qui ne dit ni bonjour ni au revoir et le monsieur qui donne les collis ?????? plus jamais je mettrais un pied chez eux !!!;Marie;False
2021-06-01 00:00:00;1;Un service de livraison affreux qui ne respect pas le client ni les horaires de livraison. Monoprix se veut d'une enseigne chic mais elle est complétement nul;Dimeh;False
2021-05-27 00:00:00;1;Site horriblement lent, ce qui décourage de tout achat;Aude Le Taro;False
2021-05-26 00:00:00;1;Monoprix de TroyesVigile agressif, bouscule, menace et insulte la clientèle !!!! J?ai fait des réclamations auprès de la direction du magasin. Aucune suite le directeur protège son vigile malgré les plaintes des clients!!!!!;Tokyo K;False
2021-05-15 00:00:00;2;J?ai rarement vu un site aussi peu performant. Chaque étape prends plusieurs minutes l?expérience utilisateur est tout simplement désastreuse. Heureusement les livreurs sont toujours très sympatiques;Margaux;False
2021-05-14 00:00:00;1;Il est impossible de commander en ligne, ni en livraison à domicile ni en click & collecte ! Que ce soit via le site internet ou via l'application! Et pourtant ça fait 4 jours que j'essais;KEZ;False
2021-05-12 00:00:00;1;Impossible de commander des vêtements en ligne.première expérience : commande annulée après achat sans motifs.Dixième expérience : Produit en stock en magasin mais impossible de l'ajouter au panier !;mari;False
2021-05-10 00:00:00;1;Comment supprimer?;Y?en a Marre;False
2021-05-03 00:00:00;4;BonjourFidèle client de Monoprix depuis longtemps magasin impeccable personnel agréable seul bémol la caissière des caisse automatique non masqué;Marzullo;False
2021-05-02 00:00:00;5;Très bon service. Date de limite de consommation éloignées. Livreurs aimables. Chaîne du froid respectée. Je me fais livrer chaque semaine depuis des mois et les problèmes (mineurs) sont rares. Je recommande.;Johann Wattiez;False
2021-04-29 00:00:00;4;Service impeccable, livreur serviable et polie. Je suis au 5 eme étages sans ascenseurs et j?ai mes courses devant la porte un grand merci !!!;Alexandre Radosavljevic;False
2021-04-26 00:00:00;5;Très bonne expérience d'achat de vêtements en ligne pendant le troisième confinement.;Nina  Klinovskaia;False
2021-04-08 00:00:00;4;;Lilo;False
2021-03-24 00:00:00;3;Beaucoup de références, prix élevé et magasin vieillot;Anne-laure poirier;False
2021-03-19 00:00:00;5;Je viens depuis longtemps faire mes courses dans ce magasin que je trouve d une propreté exemplaire. Quant aux employés, ce sont des petites fourmis, vivaces dans leurs rayons respectifs, toujours impeccables.;GILL;False
2021-03-08 00:00:00;1;Parle très mal avec clients, hôtesse de caisse;Olesia Asauliak;False
2021-02-15 00:00:00;1;Site beaucoup trop lent, impossible de faire ces courses... Je retourne chez la concurrence...;Bastien Chambon;False
2021-02-03 00:00:00;1;Hotesse de caisse ANTHIPATHIQUE Maguy B. devrait appliquer ses commentaires envers les autres commerces du territoire pendant son temps de travail ou bien  rester à  diriger ses gosses;Huguette;False
2021-01-20 00:00:00;3;Beaucoup d'erreurs dans les livraisons mais service client au top pour les litiges !;Jay;False
2021-01-19 00:00:00;2;Attention de bien vérifier l'étiquetage et la facturation car la présentation des produits est trompeuse, je me suis faite avoir plusieurs fois.;carole lerouge;False
2021-01-18 00:00:00;1;Stop au génocide Ouïghours !Monoprix montrez l'exemple arrêtez d'Acheter en Chine!Il y a assez de pays dans le monde en Europe, au Maghreb en Afrique pour faire du commerce!!!Ne fermez pas les yeux!Pas de collaboration!;Chevalier Martine;False
2021-01-07 00:00:00;1;pire service existantDu jamais vu !!!!;lucca velarde;False
2020-12-31 00:00:00;1;Un conseil changer votre personnel de caisse;Nathalie M;False
2020-12-16 00:00:00;3;Bon rapport qualité-prix, service de livraison bien.;Mimosa;False
2020-12-15 00:00:00;1;Les caissière sont méchantes et rasistes la  responsable est pire, aucun de respect.;Lina Atia;False
2020-12-08 00:00:00;1;"Au monoprix Championnet un employé du rayon Traiteur ne met jamais de gants pour manipuler la charcuterie...Il dit ""ne pas être obligé"" ... Même en période de crise sanitaire ?";Marianne D;False
2020-12-25 00:00:00;3;"Le suivis de livraison côté ""mode"" n'est pas très clair.Colis arrivé !";Ushum.Gal;False
2020-12-01 00:00:00;1;J'ai acheté un pull jaune en cachemire avec des boutons. Dès que je l'ai porté  plein de bouloches se sont formées. Je les ai retirées mais il fait vieux et usé alors que je ne l'ai mis que 2 fois. Je suis extrêmement déçue;Claire Perisset;False
2020-11-13 00:00:00;1;il manque plusieurs articles à la livraison, décevant...il faut réclamer...c'est pénible.;Constance;False
2020-11-13 00:00:00;5;j'ai acheté quelques articles textiles à monoprix. Je suis tres satisfaite de la qualité des vetements maillot de bain et meme les chaussure. Je n'y vais qu'en solde en revanche sinon le prix est un peu elevé.;LAGHROUR MSU;False
2020-11-09 00:00:00;1;Je suis très satisfaite du monoprix gorbella Nice tant au niveau de l accueil et des produits et ce, depuis plusieurs années.;Aimar;False
2020-10-07 00:00:00;3;;Robert;False
2020-10-07 00:00:00;1;Monoprix 3 rue de la station 92600 Asnièresles employés qui chassent les clients.....ni bonjour ...ni au revoir..... c'est une Honte pour ce Monorprix  3 rue de la station asnières qui embauche des gens pas compétentqui respectent pas les clients;lila;False
2020-10-06 00:00:00;2;Bonjour, je voulais mettre 4 étoiles, mais le gel hydroalcoolique à l'entrée est infect (peut être qu'un mélange avec des huiles essentielles ou autres serait bénéfique) !! Après plusieurs lavages de mains, j'ai encore l'odeur horrible de leur gel !;Clément Faillon;False
2020-10-01 00:00:00;2;Je commande en ligne et je vous sommerais de VÉRIFIER VOS CONFITURES !!! J'EN AI RAS-LE-BOL DE RECEVOIR DES CONFITURES MOISIES, ÇA FAIT DEUX FOIS D'AFFILÉE !!!!!;Roberta Robert;False
2020-09-23 00:00:00;1;Prix élevé, habille vieillot.;Machou Maachou Boutkhil;False
2020-09-09 00:00:00;1;Employés qui vous envoient balader avec mépris quand vous leur demandez un renseignement. De moins en moins de choix et des produits non-renouvelés.;RICHEY;False
2020-09-08 00:00:00;5;Monoprix  est le meilleur  qualité prix,,Cliente depuis des années;Polledri;False
2020-08-29 00:00:00;1;Leur site internet bug depuis une semaine, j?ai beau téléphoner au service client rien ne fonctionne.  Vraiment décevant et service client à revoir.;Nefer;False
2020-08-28 00:00:00;1;c'est inadmissible que les panier des courses soient sales, c'est dégoûtant! l'hygiène doit etre stricte dans un magasin d'alimentation. il faut croire que le responsable n'est pas a l'hauteur.;Maria Pirastu;False
2020-07-26 00:00:00;2;Quelques courses en 20 min chrono au Monop Paris NATION...35 min d'attente en caisse !Personnel franchement désagréable.Prix de moins en moins attractifs... La Covid 19 a bon dos !Je vais arrêter cette enseigne !;Loïc BAFFIER;False
